_id,Country,Project Name,Type,Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country_1,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,the_geom
0,Vietnam,Nam He (Thủy điện Nậm He),Hydro,Operational,16,2014,,,,,,,Vietnam,Sơn La,Mai Sơn,Black-Li Xian,21.2216,104.069,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,,,0101000020E610000023DBF97E6A045A409B728577B9383540
1,Myanmar,Annchaung,Hydro,Postponed,10,,Myanmar,MOEP,,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.6141,93.9995,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES,,0101000020E61000008716D9CEF77F5740137EA99F379D3340
2,Myanmar,Weigyi,Hydro,Postponed,4000,,Thailand; Myanmar,"MEPE, EGAT",Thailand,Thai Banks (Thailand),China,"Power Construction Corp, China Corporation; China Southern Power Grid Company and China Three Gorges Project Corporation (China)",Myanmar,Kayah,Bawlake,Salween Mainstem,18.6326,97.3595,,,Burma Rivers Network,https://ejatlas.org/conflict/weigyi-dam-on-the-salween-river-myanmar; https://www.burmariversnetwork.org/title/dam-projects/weigyi.html,,0101000020E61000003BE466B801575840A7CB6262F3A13240
3,Myanmar,Taninthayi,Hydro,Postponed,600,,Thailand,Italian-Thai,,,,,Myanmar,Tanintharyi,Tenasserim,Tanintharyi,12.777,98.94,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,,0101000020E61000005C8FC2F528BC5840E7FBA9F1D28D2940
4,Thailand,Kaeng Krachan Dam,Hydro,Operational,35,,Thailand,EGAT (Thailand),,,,,Thailand,Phetchaburi,Kaeng Krachan,,12.9154,99.6283,,,Electricity Generating Authority of Thailand,https://data.opendevelopmentmekong.net/laws_record/thailand-power-development-plan-2015-2036-pdp2015,,0101000020E6100000A3586E6935E8584033C005D9B2D42940
5,Myanmar,Mong Hsat,Hydro,Planned,30,,Myanmar,Suntac Power Co.,,,,,Myanmar,Shan,Mong Hsat,Mekong,20.6622,99.375,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,,0101000020E61000000000000000D8584014B1886187A93440
6,Myanmar,Nam Tabak II,Hydro,Planned,144,2027,"Singpore,Myanmar","China Guodian,Tun Thwin Mining",,,,,Myanmar,Kachin,Myitkyina,Ayeyarwady,25.1198,97.6506,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,,0101000020E610000041B96DDFA369584051888043A81E3940
7,Thailand,Ban Khun Klang Dam,Hydro,Operational,0.2,1982,Thailand,EGAT (Thailand),,,,,Thailand,Chiang Mai,Chom Thong,Chao Phraya-Ping,18.5334,98.522,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,https://www.egat.co.th/en/sustainable-development/royally-initiated-development-projects,,0101000020E6100000FA6184F068A158408DB454DE8E883240
8,Thailand,Ban Santi,Hydro,Operational,1.28,1981,Thailand,EGAT (Thailand),,,,,Thailand,Yala,Bannang Star,Pattani,6.14179,101.294,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,https://books.google.com/books?id=Q7YL5MkwRmEC&pg=PA181&lpg=PA181&dq=pattani+dam+and+ban+santi&source=bl&ots=KrgIJqUqVX&sig=ACfU3U3vz9GmV37AtuRdQ110LjyU6meqCg&hl=en&sa=X&ved=2ahUKEwias-rUz7XlAhWBmuAKHeL8CLIQ6AEwAXoECAkQAQ; https://www.egat.co.th/en/susta,,0101000020E610000074B515FBCB5259406ADC9BDF30911840
9,Thailand,Ban Yang Dam,Hydro,Operational,0.13,1972,Thailand,EGAT (Thailand),,,,,Thailand,Chiang Mai,Mae Chaem,Chao Phraya-Ping,18.5675,98.4418,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,https://www.egat.co.th/en/sustainable-development/royally-initiated-development-projects,,0101000020E610000035EF3845479C58402827DA5548913240
